1,画像処理,画像処理,卒研,卒研,卒研,卒研
2,熱流体,熱流体,メカトロニクス,メカトロニクス,選択,選択
3,計測工学,計測工学,情報処理,情報処理,制御工学,制御工学
4,日本文化論,日本文化論,卒研,卒研,卒研,卒研
5,工業英語,工業英語,システムダイナミクス,システムダイナミクス,卒研,卒研
